round,train_accuracy,train_logloss,train_precision_bin,train_recall_bin,train_f1_bin,train_precision_macro,train_recall_macro,train_f1_macro,train_tn,train_fp,train_fn,train_tp,train_sensitivity,train_specificity,train_balanced_accuracy,train_roc_auc,train_pr_auc
15,0.9878048780487805,0.07681182195531504,0.0,0.0,0.0,0.49390243902439024,0.5,0.49693251533742333,81.0,0.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0
16,0.9867661212704524,0.06343662571181294,0.7206448508180943,0.5646935635746992,0.6061876573364197,0.8705716675243539,0.7993102081588607,0.8166448275111936,181.82555341674689,0.0,2.935755534167469,3.231953801732435,0.5646935635746992,1.0,0.7993102081588607,,0.8919512704621574
17,0.9908599916909016,0.04679385267932894,0.7810552555047778,0.6427013922236192,0.6721271573723447,0.9272378322791356,0.8627923246951081,0.8751007151561058,198.50041545492311,0.0,2.23764021603656,3.411508101371002,0.6427013922236192,1.0,0.8627923246951081,,0.8593994075655894
18,0.9910623603493807,0.04402379409527933,0.7221206581352835,0.5584322374084715,0.6036334821508853,0.8912880729713002,0.8140526005242641,0.8343113622685595,184.77351208612632,0.0,1.668088563883811,3.6390412350192967,0.5584322374084715,1.0000000000000002,0.8140526005242641,,0.8651216051996696
19,0.9938754678462063,0.03615794891935685,0.8231541340592039,0.7382785469039297,0.7704649174877144,0.9240660042153398,0.8846181124081772,0.8991977116212629,206.60785981626404,0.01139843484178292,1.2759441987070432,4.240558012929569,0.7382785469039297,0.9998246394639724,0.8846181124081772,,0.9348079988735417
20,0.9930043486481375,0.038913332304269764,0.8494989601058802,0.7249380196912812,0.7597617401301314,0.9588600217370192,0.9001888056482498,0.9157689273519412,190.7368122518434,0.0,1.3647192285876346,3.7209302325581395,0.7249380196912812,1.0,0.9001888056482498,,0.8443554946884055
21,0.9887413880020165,0.04146847864069311,0.7526466140144512,0.5987367251020419,0.6402551235586814,0.8788157464179192,0.8076022728182031,0.8254407721037176,209.15812468492695,0.0,2.4978995126869434,3.376239287514703,0.5987367251020419,1.0,0.8076022728182031,,0.9173611162107875
22,0.9926605504587156,0.03640485353187443,0.8298860161245483,0.7333883575418189,0.7709757735886967,0.944658151027333,0.8997145417050451,0.9168291230585744,206.91993327773145,0.14395329441201,1.4273561301084237,4.104753961634695,0.7333883575418189,0.9994852629825333,0.8997145417050451,,0.8702770854525242
23,0.9964565460649011,0.025173032653101612,0.9313688922044012,0.7855535425658513,0.823575820899986,0.9919440574067357,0.9208446564004191,0.9389435290379838,211.46139500186496,0.0,0.9576650503543453,4.066579634464752,0.7855535425658513,0.9999999999999999,0.9208446564004191,,0.9148471776395791
24,0.9915547856214812,0.03561532270073958,0.754439151147683,0.6883643713007073,0.7091599123736796,0.8881014493122461,0.8594485347192147,0.8676125885039959,191.7880034647033,0.0,1.4478129060199216,4.080337808575141,0.6883643713007073,1.0,0.8594485347192147,,0.9087039156020521
25,0.9942627653471027,0.029218073728203398,0.7682157200229489,0.6963203463203463,0.7233475790090572,0.8986602845023728,0.8656587388515099,0.8776854273426787,192.29929240772614,0.0,1.0313635494358386,3.4436794798240573,0.6963203463203463,1.0,0.8656587388515099,,0.9083571946071055
26,0.9899077779711154,0.03929008727316692,0.83539237863233,0.610549603519849,0.6691032752959799,0.9398312041393098,0.8325934027691467,0.859230709891878,208.41778319123026,0.0,2.1132764920828264,3.133634939968679,0.610549603519849,0.9999999999999999,0.8325934027691467,,0.8690398372582043
27,0.9925845821103045,0.031718490165997405,0.7830475307688347,0.6732828940460643,0.7129503484080021,0.9186048476423399,0.867383637589379,0.8853578677011457,209.25227869612237,0.0673567124980689,1.4025953962613933,3.9443843658272826,0.6732828940460643,0.9998437199245985,0.867383637589379,,0.8954472157808219
28,0.9915028323892034,0.03723525021486335,0.8540486504498498,0.7095026044709484,0.7593532781323125,0.9524591285787765,0.8844044613273709,0.9071888231759948,196.08697100966353,0.05998000666444518,1.7230923025658114,3.96434521826058,0.7095026044709484,0.9998261449082189,0.8844044613273709,,0.8788397887895552
29,0.9895470383275259,0.03665856439338692,0.7933247753530166,0.6245236547180432,0.6716942447255069,0.9200688512384381,0.8410533182814494,0.8618968516818297,210.89528699798277,0.0,2.461030625343848,3.3704382908490746,0.6245236547180432,1.0,0.8410533182814494,,0.8741937402033602
30,0.9923076923076921,0.031547460408184735,0.8694183864915572,0.7507181030351762,0.7881031661640385,0.9681224001739952,0.9127886950447925,0.9294348560138449,185.0947467166979,0.0,1.4671669793621014,4.582551594746717,0.7507181030351762,1.0000000000000002,0.9127886950447925,,0.8842446623877984
